canonical,unit_bits,standard_order,module,packed_names
GSM0338-SINGLE-ORIYA,7,lsb,Iconvex.Telecom.Codecs.GSM0338SingleOriya,GSM0338-SINGLE-ORIYA-PACKED-MSB|GSM0338-SINGLE-ORIYA-PACKED-LSB
GSM0338-SINGLE-PORTUGUESE,7,lsb,Iconvex.Telecom.Codecs.GSM0338SinglePortuguese,GSM0338-SINGLE-PORTUGUESE-PACKED-MSB|GSM0338-SINGLE-PORTUGUESE-PACKED-LSB
GSM0338-SINGLE-PUNJABI,7,lsb,Iconvex.Telecom.Codecs.GSM0338SinglePunjabi,GSM0338-SINGLE-PUNJABI-PACKED-MSB|GSM0338-SINGLE-PUNJABI-PACKED-LSB
GSM0338-SINGLE-SPANISH,7,lsb,Iconvex.Telecom.Codecs.GSM0338SingleSpanish,GSM0338-SINGLE-SPANISH-PACKED-MSB|GSM0338-SINGLE-SPANISH-PACKED-LSB
GSM0338-SINGLE-TAMIL,7,lsb,Iconvex.Telecom.Codecs.GSM0338SingleTamil,GSM0338-SINGLE-TAMIL-PACKED-MSB|GSM0338-SINGLE-TAMIL-PACKED-LSB
GSM0338-SINGLE-TELUGU,7,lsb,Iconvex.Telecom.Codecs.GSM0338SingleTelugu,GSM0338-SINGLE-TELUGU-PACKED-MSB|GSM0338-SINGLE-TELUGU-PACKED-LSB
GSM0338-SINGLE-TURKISH,7,lsb,Iconvex.Telecom.Codecs.GSM0338SingleTurkish,GSM0338-SINGLE-TURKISH-PACKED-MSB|GSM0338-SINGLE-TURKISH-PACKED-LSB
GSM0338-SINGLE-URDU,7,lsb,Iconvex.Telecom.Codecs.GSM0338SingleUrdu,GSM0338-SINGLE-URDU-PACKED-MSB|GSM0338-SINGLE-URDU-PACKED-LSB
GSM0338-SPANISH,7,lsb,Iconvex.Telecom.Codecs.GSM0338Spanish,GSM0338-SPANISH-PACKED-MSB|GSM0338-SPANISH-PACKED-LSB
GSM0338-TAMIL,7,lsb,Iconvex.Telecom.Codecs.GSM0338Tamil,GSM0338-TAMIL-PACKED-MSB|GSM0338-TAMIL-PACKED-LSB
GSM0338-TELUGU,7,lsb,Iconvex.Telecom.Codecs.GSM0338Telugu,GSM0338-TELUGU-PACKED-MSB|GSM0338-TELUGU-PACKED-LSB
GSM0338-TURKISH,7,lsb,Iconvex.Telecom.Codecs.GSM0338Turkish,GSM0338-TURKISH-PACKED-MSB|GSM0338-TURKISH-PACKED-LSB
GSM0338-URDU,7,lsb,Iconvex.Telecom.Codecs.GSM0338Urdu,GSM0338-URDU-PACKED-MSB|GSM0338-URDU-PACKED-LSB
IBM-2780-SIX-BIT-TRANSCODE-GA27-3005-3,6,lsb,Iconvex.Telecom.IBM2780SixBitTranscode,IBM-2780-SIX-BIT-TRANSCODE-GA27-3005-3-PACKED-MSB|IBM-2780-SIX-BIT-TRANSCODE-GA27-3005-3-PACKED-LSB
IBM-BSC-SIX-BIT-TRANSCODE-GA27-3004-2,6,lsb,Iconvex.Telecom.IBMBscSixBitTranscode,IBM-BSC-SIX-BIT-TRANSCODE-GA27-3004-2-PACKED-MSB|IBM-BSC-SIX-BIT-TRANSCODE-GA27-3004-2-PACKED-LSB
ITA1,5,lsb,Iconvex.Telecom.ITA1,ITA1-PACKED-MSB|ITA1-PACKED-LSB
ITA2,5,lsb,Iconvex.Telecom.ITA2,ITA2-PACKED-MSB|ITA2-PACKED-LSB
ITA2-S2,5,lsb,Iconvex.Telecom.ITA2S2,ITA2-S2-PACKED-MSB|ITA2-S2-PACKED-LSB
ITA2-US-TTY,5,lsb,Iconvex.Telecom.ITA2USTTY,ITA2-US-TTY-PACKED-MSB|ITA2-US-TTY-PACKED-LSB
ITA3,7,lsb,Iconvex.Telecom.ITA3,ITA3-PACKED-MSB|ITA3-PACKED-LSB
ITA4,6,lsb,Iconvex.Telecom.ITA4,ITA4-PACKED-MSB|ITA4-PACKED-LSB
ITU-T-T.50-IRV,7,msb,Iconvex.Telecom.IA5,ITU-T-T.50-IRV-PACKED-MSB|ITU-T-T.50-IRV-PACKED-LSB
MTK-2,5,lsb,Iconvex.Telecom.MTK2,MTK-2-PACKED-MSB|MTK-2-PACKED-LSB
