byte_hex,unicode_hex,classification,status,notes
AB,00AB,g1_graphic,graphic,identity
AC,00AC,g1_graphic,graphic,identity
AD,00AD,g1_graphic,graphic,identity
AE,00AE,g1_graphic,graphic,identity
AF,00AF,g1_graphic,graphic,identity
B0,00B0,g1_graphic,graphic,identity
B1,00B1,g1_graphic,graphic,identity
B2,00B2,g1_graphic,graphic,identity
B3,00B3,g1_graphic,graphic,identity
B4,00B4,g1_graphic,graphic,identity
B5,00B5,g1_graphic,graphic,identity
B6,00B6,g1_graphic,graphic,identity
B7,00B7,g1_graphic,graphic,identity
B8,00B8,g1_graphic,graphic,identity
B9,00B9,g1_graphic,graphic,identity
BA,00BA,g1_graphic,graphic,identity
BB,00BB,g1_graphic,graphic,identity
BC,00BC,g1_graphic,graphic,identity
BD,00BD,g1_graphic,graphic,identity
BE,00BE,g1_graphic,graphic,identity
BF,00BF,g1_graphic,graphic,identity
C0,00C0,g1_graphic,graphic,identity
C1,00C1,g1_graphic,graphic,identity
C2,00C2,g1_graphic,graphic,identity
C3,00C3,g1_graphic,graphic,identity
C4,00C4,g1_graphic,graphic,identity
C5,00C5,g1_graphic,graphic,identity
C6,00C6,g1_graphic,graphic,identity
C7,00C7,g1_graphic,graphic,identity
C8,00C8,g1_graphic,graphic,identity
C9,00C9,g1_graphic,graphic,identity
CA,00CA,g1_graphic,graphic,identity
CB,00CB,g1_graphic,graphic,identity
CC,00CC,g1_graphic,graphic,identity
CD,00CD,g1_graphic,graphic,identity
CE,00CE,g1_graphic,graphic,identity
CF,00CF,g1_graphic,graphic,identity
D0,00D0,g1_graphic,graphic,identity
D1,00D1,g1_graphic,graphic,identity
D2,00D2,g1_graphic,graphic,identity
D3,00D3,g1_graphic,graphic,identity
D4,00D4,g1_graphic,graphic,identity
D5,00D5,g1_graphic,graphic,identity
D6,00D6,g1_graphic,graphic,identity
D7,0152,g1_graphic,graphic,brascii_oe_override
D8,00D8,g1_graphic,graphic,identity
D9,00D9,g1_graphic,graphic,identity
DA,00DA,g1_graphic,graphic,identity
DB,00DB,g1_graphic,graphic,identity
DC,00DC,g1_graphic,graphic,identity
DD,00DD,g1_graphic,graphic,identity
DE,00DE,g1_graphic,graphic,identity
DF,00DF,g1_graphic,graphic,identity
E0,00E0,g1_graphic,graphic,identity
E1,00E1,g1_graphic,graphic,identity
E2,00E2,g1_graphic,graphic,identity
E3,00E3,g1_graphic,graphic,identity
E4,00E4,g1_graphic,graphic,identity
E5,00E5,g1_graphic,graphic,identity
E6,00E6,g1_graphic,graphic,identity
E7,00E7,g1_graphic,graphic,identity
E8,00E8,g1_graphic,graphic,identity
E9,00E9,g1_graphic,graphic,identity
EA,00EA,g1_graphic,graphic,identity
EB,00EB,g1_graphic,graphic,identity
EC,00EC,g1_graphic,graphic,identity
ED,00ED,g1_graphic,graphic,identity
EE,00EE,g1_graphic,graphic,identity
EF,00EF,g1_graphic,graphic,identity
F0,00F0,g1_graphic,graphic,identity
F1,00F1,g1_graphic,graphic,identity
F2,00F2,g1_graphic,graphic,identity
F3,00F3,g1_graphic,graphic,identity
F4,00F4,g1_graphic,graphic,identity
F5,00F5,g1_graphic,graphic,identity
F6,00F6,g1_graphic,graphic,identity
F7,0153,g1_graphic,graphic,brascii_oe_override
F8,00F8,g1_graphic,graphic,identity
F9,00F9,g1_graphic,graphic,identity
FA,00FA,g1_graphic,graphic,identity
FB,00FB,g1_graphic,graphic,identity
FC,00FC,g1_graphic,graphic,identity
FD,00FD,g1_graphic,graphic,identity
FE,00FE,g1_graphic,graphic,identity
FF,00FF,g1_graphic,graphic,identity
