# Independently derived from TI AMS 2.0 Appendix B, printed p555.
# BYTE;SOURCE_GLYPH;VISIBLE;LOSSLESS_VPUA;RAW_VPUA
AF;00AF;00AF;00AF;F8AAF
B0;00B0;00B0;00B0;F8AB0
B1;00B1;00B1;00B1;F8AB1
B2;00B2;00B2;00B2;F8AB2
B3;00B3;00B3;00B3;F8AB3
B4;207B+00B9;207B+00B9;207B+00B9;F8AB4
B5;00B5;00B5;F89B5;F8AB5
B6;00B6;00B6;00B6;F8AB6
B7;00B7;00B7;00B7;F8AB7
B8;207A;207A;207A;F8AB8
B9;00B9;00B9;00B9;F8AB9
BA;00BA;00BA;00BA;F8ABA
BB;00BB;00BB;00BB;F8ABB
BC;1D451;1D451;F89BC;F8ABC
BD;222B;222B;222B;F8ABD
BE;221E;221E;221E;F8ABE
BF;00BF;00BF;00BF;F8ABF
C0;00C0;00C0;00C0;F8AC0
C1;00C1;00C1;00C1;F8AC1
C2;00C2;00C2;00C2;F8AC2
C3;00C3;00C3;00C3;F8AC3
C4;00C4;00C4;00C4;F8AC4
C5;00C5;00C5;00C5;F8AC5
C6;00C6;00C6;00C6;F8AC6
C7;00C7;00C7;00C7;F8AC7
C8;00C8;00C8;00C8;F8AC8
C9;00C9;00C9;00C9;F8AC9
CA;00CA;00CA;00CA;F8ACA
CB;00CB;00CB;00CB;F8ACB
CC;00CC;00CC;00CC;F8ACC
CD;00CD;00CD;00CD;F8ACD
CE;00CE;00CE;00CE;F8ACE
CF;00CF;00CF;00CF;F8ACF
D0;00D0;00D0;00D0;F8AD0
D1;00D1;00D1;00D1;F8AD1
D2;00D2;00D2;00D2;F8AD2
D3;00D3;00D3;00D3;F8AD3
D4;00D4;00D4;00D4;F8AD4
D5;00D5;00D5;00D5;F8AD5
D6;00D6;00D6;00D6;F8AD6
D7;00D7;00D7;00D7;F8AD7
D8;00D8;00D8;00D8;F8AD8
D9;00D9;00D9;00D9;F8AD9
DA;00DA;00DA;00DA;F8ADA
DB;00DB;00DB;00DB;F8ADB
DC;00DC;00DC;00DC;F8ADC
DD;00DD;00DD;00DD;F8ADD
DE;00DE;00DE;00DE;F8ADE
DF;00DF;00DF;00DF;F8ADF
E0;00E0;00E0;00E0;F8AE0
E1;00E1;00E1;00E1;F8AE1
E2;00E2;00E2;00E2;F8AE2
E3;00E3;00E3;00E3;F8AE3
E4;00E4;00E4;00E4;F8AE4
E5;00E5;00E5;00E5;F8AE5
E6;00E6;00E6;00E6;F8AE6
E7;00E7;00E7;00E7;F8AE7
E8;00E8;00E8;00E8;F8AE8
E9;00E9;00E9;00E9;F8AE9
EA;00EA;00EA;00EA;F8AEA
EB;00EB;00EB;00EB;F8AEB
EC;00EC;00EC;00EC;F8AEC
ED;00ED;00ED;00ED;F8AED
EE;00EE;00EE;00EE;F8AEE
EF;00EF;00EF;00EF;F8AEF
F0;00F0;00F0;00F0;F8AF0
F1;00F1;00F1;00F1;F8AF1
F2;00F2;00F2;00F2;F8AF2
F3;00F3;00F3;00F3;F8AF3
F4;00F4;00F4;00F4;F8AF4
F5;00F5;00F5;00F5;F8AF5
F6;00F6;00F6;00F6;F8AF6
F7;00F7;00F7;00F7;F8AF7
F8;00F8;00F8;00F8;F8AF8
F9;00F9;00F9;00F9;F8AF9
FA;00FA;00FA;00FA;F8AFA
FB;00FB;00FB;00FB;F8AFB
FC;00FC;00FC;00FC;F8AFC
FD;00FD;00FD;00FD;F8AFD
FE;00FE;00FE;00FE;F8AFE
FF;00FF;00FF;00FF;F8AFF
