byte_hex,unicode_hex,status,provenance
A6,20A7,mapped,xerox_1988_hp_1991
A7,00A7,mapped,xerox_1988_hp_1991
A8,00A4,mapped,xerox_1988_hp_1991
A9,00A9,mapped,xerox_1988_hp_1991
AA,00AA,mapped,xerox_1988_hp_1991
AB,00AB,mapped,xerox_1988_hp_1991
AC,0394,mapped,xerox_1988_hp_1991
AD,03C0,mapped,xerox_1988_hp_1991
AE,2265,mapped,xerox_1988_hp_1991
AF,00F7,mapped,xerox_1988_hp_1991
B0,00B0,mapped,xerox_1988_hp_1991
B1,00B1,mapped,xerox_1988_hp_1991
B2,00B2,mapped,xerox_1988_hp_1991
B3,00B3,mapped,xerox_1988_hp_1991
B4,201E,mapped,xerox_1988_hp_1991
B5,00B5,mapped,xerox_1988_hp_1991
B6,00B6,mapped,xerox_1988_hp_1991
B7,00B7,mapped,xerox_1988_hp_1991
B8,2122,mapped,xerox_1988_hp_1991
B9,00B9,mapped,xerox_1988_hp_1991
BA,00BA,mapped,xerox_1988_hp_1991
BB,00BB,mapped,xerox_1988_hp_1991
BC,00BC,mapped,xerox_1988_hp_1991
BD,00BD,mapped,xerox_1988_hp_1991
BE,2264,mapped,xerox_1988_hp_1991
BF,00BF,mapped,xerox_1988_hp_1991
C0,00C0,mapped,xerox_1988_hp_1991
C1,00C1,mapped,xerox_1988_hp_1991
C2,00C2,mapped,xerox_1988_hp_1991
C3,00C3,mapped,xerox_1988_hp_1991
C4,00C4,mapped,xerox_1988_hp_1991
C5,00C5,mapped,xerox_1988_hp_1991
C6,00C6,mapped,xerox_1988_hp_1991
C7,00C7,mapped,xerox_1988_hp_1991
C8,00C8,mapped,xerox_1988_hp_1991
C9,00C9,mapped,xerox_1988_hp_1991
CA,00CA,mapped,xerox_1988_hp_1991
CB,00CB,mapped,xerox_1988_hp_1991
CC,00CC,mapped,xerox_1988_hp_1991
CD,00CD,mapped,xerox_1988_hp_1991
CE,00CE,mapped,xerox_1988_hp_1991
CF,00CF,mapped,xerox_1988_hp_1991
D0,00D0,mapped,xerox_1988_hp_1991
D1,00D1,mapped,xerox_1988_hp_1991
D2,00D2,mapped,xerox_1988_hp_1991
D3,00D3,mapped,xerox_1988_hp_1991
D4,00D4,mapped,xerox_1988_hp_1991
D5,00D5,mapped,xerox_1988_hp_1991
D6,00D6,mapped,xerox_1988_hp_1991
D7,0152,mapped,xerox_1988_hp_1991
D8,00D8,mapped,xerox_1988_hp_1991
D9,00D9,mapped,xerox_1988_hp_1991
DA,00DA,mapped,xerox_1988_hp_1991
DB,00DB,mapped,xerox_1988_hp_1991
DC,00DC,mapped,xerox_1988_hp_1991
DD,0178,mapped,xerox_1988_hp_1991
DE,00DE,mapped,xerox_1988_hp_1991
DF,00DF,mapped,xerox_1988_hp_1991
E0,00E0,mapped,xerox_1988_hp_1991
E1,00E1,mapped,xerox_1988_hp_1991
E2,00E2,mapped,xerox_1988_hp_1991
E3,00E3,mapped,xerox_1988_hp_1991
E4,00E4,mapped,xerox_1988_hp_1991
E5,00E5,mapped,xerox_1988_hp_1991
E6,00E6,mapped,xerox_1988_hp_1991
E7,00E7,mapped,xerox_1988_hp_1991
E8,00E8,mapped,xerox_1988_hp_1991
E9,00E9,mapped,xerox_1988_hp_1991
EA,00EA,mapped,xerox_1988_hp_1991
EB,00EB,mapped,xerox_1988_hp_1991
EC,00EC,mapped,xerox_1988_hp_1991
ED,00ED,mapped,xerox_1988_hp_1991
EE,00EE,mapped,xerox_1988_hp_1991
EF,00EF,mapped,xerox_1988_hp_1991
F0,00F0,mapped,xerox_1988_hp_1991
F1,00F1,mapped,xerox_1988_hp_1991
F2,00F2,mapped,xerox_1988_hp_1991
F3,00F3,mapped,xerox_1988_hp_1991
F4,00F4,mapped,xerox_1988_hp_1991
F5,00F5,mapped,xerox_1988_hp_1991
F6,00F6,mapped,xerox_1988_hp_1991
F7,0153,mapped,xerox_1988_hp_1991
F8,00F8,mapped,xerox_1988_hp_1991
F9,00F9,mapped,xerox_1988_hp_1991
FA,00FA,mapped,xerox_1988_hp_1991
FB,00FB,mapped,xerox_1988_hp_1991
FC,00FC,mapped,xerox_1988_hp_1991
FD,00FF,mapped,xerox_1988_hp_1991
FE,00FE,mapped,xerox_1988_hp_1991
FF,,undefined,hp_1991_undefined
