canonical,aliases,module,stateful
IBM-277,CSIBM277|EBCDIC-CP-DK|EBCDIC-CP-NO|IBM277,Iconvex.Extras.Codecs.Ebcdic277,false
IBM-278,CP278|CSIBM278|EBCDIC-CP-FI|EBCDIC-CP-SE|IBM278,Iconvex.Extras.Codecs.Ebcdic278,false
IBM-280,CP280|CSIBM280|EBCDIC-CP-IT|IBM280,Iconvex.Extras.Codecs.Ebcdic280,false
IBM-282,IBM282,Iconvex.Extras.Codecs.Ebcdic282,false
IBM-284,CP284|CSIBM284|EBCDIC-CP-ES|IBM284,Iconvex.Extras.Codecs.Ebcdic284,false
IBM-285,CP285|CSIBM285|EBCDIC-CP-GB|IBM285,Iconvex.Extras.Codecs.Ebcdic285,false
IBM-297,CP297|CSIBM297|EBCDIC-CP-FR|IBM297,Iconvex.Extras.Codecs.Ebcdic297,false
IBM-423,CP423|CSIBM423|EBCDIC-CP-GR|IBM423,Iconvex.Extras.Codecs.Ebcdic423,false
IBM-424,CP424|CSIBM424|EBCDIC-CP-HE|IBM424,Iconvex.Extras.Codecs.Ebcdic424,false
IBM-425,IBM425,Iconvex.Extras.Codecs.Ebcdic425,false
IBM-4971,CP4971|IBM4971,Iconvex.Extras.Codecs.Ebcdic4971,false
IBM-500,CP500|CSIBM500|EBCDIC-CP-BE|EBCDIC-CP-CH|IBM500,Iconvex.Extras.Codecs.Ebcdic500,false
IBM-838,CSIBMTHAI|IBM-THAI|IBM838,Iconvex.Extras.Codecs.Ebcdic838,false
IBM-870,CP870|CSIBM870|EBCDIC-CP-ROECE|EBCDIC-CP-YU|IBM870,Iconvex.Extras.Codecs.Ebcdic870,false
IBM-871,CP871|CSIBM871|EBCDIC-CP-IS|IBM871,Iconvex.Extras.Codecs.Ebcdic871,false
IBM-875,CP875|EBCDIC-GREEK|IBM875,Iconvex.Extras.Codecs.Ebcdic875,false
IBM-880,CP880|CSIBM880|EBCDIC-CYRILLIC|IBM880,Iconvex.Extras.Codecs.Ebcdic880,false
IBM-905,CP905|CSIBM905|EBCDIC-CP-TR|IBM905,Iconvex.Extras.Codecs.Ebcdic905,false
IBM-924,CCSID00924|CP00924|CSIBM00924|EBCDIC-LATIN9-EURO|IBM00924|IBM924,Iconvex.Extras.Codecs.Ebcdic924,false
ISO-2022-JP-3,ISO-2022-JP-2004,Iconvex.Extras.Codecs.Iso2022Jp3,true
RISCOS-LATIN1,,Iconvex.Extras.Codecs.Riscos1,false
SHIFT_JISX0213,SHIFT_JIS-2004,Iconvex.Extras.Codecs.ShiftJisx0213,false
TDS565,ISO-IR-230,Iconvex.Extras.Codecs.Tds565,false
