canonical,aliases,unit_bits,standard_order,module,packed_names
TEX-LIVE-OML-CMMI10-TOUNICODE-2026,OML|OML-ENCODING|TEX-MATH-ITALIC,7,msb,Iconvex.Specs.TeXLiveOMLCMMI10ToUnicode2026,TEX-LIVE-OML-CMMI10-TOUNICODE-2026-PACKED-MSB|TEX-LIVE-OML-CMMI10-TOUNICODE-2026-PACKED-LSB
TEX-LIVE-OMS-CMSY10-TOUNICODE-2026,OMS|OMS-ENCODING|TEX-MATH-SYMBOLS,7,msb,Iconvex.Specs.TeXLiveOMSCMSY10ToUnicode2026,TEX-LIVE-OMS-CMSY10-TOUNICODE-2026-PACKED-MSB|TEX-LIVE-OMS-CMSY10-TOUNICODE-2026-PACKED-LSB
PDP-1-CONCISE-1960-INITIAL-LOWER,PDP-1-CONCISE-FPC8-1960-INITIAL-LOWER|PDP1-CONCISE-1960-LOWER,6,msb,Iconvex.Specs.PDP1Concise1960InitialLower,PDP-1-CONCISE-1960-INITIAL-LOWER-PACKED-MSB|PDP-1-CONCISE-1960-INITIAL-LOWER-PACKED-LSB
PDP-1-CONCISE-1960-INITIAL-UPPER,PDP-1-CONCISE-FPC8-1960-INITIAL-UPPER|PDP1-CONCISE-1960-UPPER,6,msb,Iconvex.Specs.PDP1Concise1960InitialUpper,PDP-1-CONCISE-1960-INITIAL-UPPER-PACKED-MSB|PDP-1-CONCISE-1960-INITIAL-UPPER-PACKED-LSB
PDP-1-CONCISE-FIODEC-1963-INITIAL-LOWER,PDP-1-CONCISE-1963-LOWER|PDP1-CONCISE-FIODEC-1963-LOWER,6,msb,Iconvex.Specs.PDP1ConciseFIODEC1963InitialLower,PDP-1-CONCISE-FIODEC-1963-INITIAL-LOWER-PACKED-MSB|PDP-1-CONCISE-FIODEC-1963-INITIAL-LOWER-PACKED-LSB
PDP-1-CONCISE-FIODEC-1963-INITIAL-UPPER,PDP-1-CONCISE-1963-UPPER|PDP1-CONCISE-FIODEC-1963-UPPER,6,msb,Iconvex.Specs.PDP1ConciseFIODEC1963InitialUpper,PDP-1-CONCISE-FIODEC-1963-INITIAL-UPPER-PACKED-MSB|PDP-1-CONCISE-FIODEC-1963-INITIAL-UPPER-PACKED-LSB
UNIVAC-I-EXPANDED-1959,SPERRY-RAND-UNIVAC-I-EXPANDED-1959|UNIVAC-I-63|UNIVAC-I-EXPANDED-SIXBIT-1959|UNIVAC-I-XS3-63,6,msb,Iconvex.Specs.UNIVACIExpanded1959,UNIVAC-I-EXPANDED-1959-PACKED-MSB|UNIVAC-I-EXPANDED-1959-PACKED-LSB
UNIVAC-I-EXPANDED-1959-LOSSLESS-VPUA,UNIVAC-I-63-LOSSLESS-VPUA|UNIVAC-I-XS3-63-LOSSLESS-VPUA,6,msb,Iconvex.Specs.UNIVACIExpanded1959LosslessVPUA,UNIVAC-I-EXPANDED-1959-LOSSLESS-VPUA-PACKED-MSB|UNIVAC-I-EXPANDED-1959-LOSSLESS-VPUA-PACKED-LSB
UNIVAC-I-EXPANDED-1959-RAW-VPUA,UNIVAC-I-63-RAW-VPUA|UNIVAC-I-XS3-63-RAW-VPUA,6,msb,Iconvex.Specs.UNIVACIExpanded1959RawVPUA,UNIVAC-I-EXPANDED-1959-RAW-VPUA-PACKED-MSB|UNIVAC-I-EXPANDED-1959-RAW-VPUA-PACKED-LSB
UNIVAC-I-EXPANDED-1959-ODD-PARITY-7BIT,UNIVAC-I-63-ODD-PARITY-7BIT|UNIVAC-I-EXPANDED-1959-CHECKED|UNIVAC-I-EXPANDED-1959-SEPTET,7,msb,Iconvex.Specs.UNIVACIExpanded1959OddParity7Bit,UNIVAC-I-EXPANDED-1959-ODD-PARITY-7BIT-PACKED-MSB|UNIVAC-I-EXPANDED-1959-ODD-PARITY-7BIT-PACKED-LSB
