canonical,aliases,module,stateful
IBM866NAV,866NAV|CP866NAV,Iconvex.Specs.GlibcCharmaps.Codecs.C17,false
IBM868,CP868|cp-ar,Iconvex.Specs.RFC1345.Codecs.C120,false
IBM891,cp891,Iconvex.Specs.RFC1345.Codecs.C125,false
IBM903,cp903,Iconvex.Specs.RFC1345.Codecs.C126,false
IBM904,904|cp904,Iconvex.Specs.RFC1345.Codecs.C127,false
IBM918,CP918|ebcdic-cp-ar2,Iconvex.Specs.RFC1345.Codecs.C129,false
IBMGRAPH,IBM-PC-VIDEO-GRAPHICS,Iconvex.Specs.UnicodeMappingComponents.Codecs.C4,false
IBMGRAPH-CP864,IBM-PC-VIDEO-GRAPHICS-CP864,Iconvex.Specs.UnicodeMappingComponents.Codecs.C5,false
ICONVEX-UTF-16-SIGNATURE-LE-DEFAULT,ICONVEX_UTF_16_SIGNATURE_LE_DEFAULT,Iconvex.Specs.IconvexUTF16SignatureLEDefault,true
ICONVEX-UTF-32BE-SIGNATURE,ICONVEX_UTF_32BE_SIGNATURE,Iconvex.Specs.IconvexUTF32BESignature,true
ICONVEX-UTF-32LE-SIGNATURE,ICONVEX_UTF_32LE_SIGNATURE,Iconvex.Specs.IconvexUTF32LESignature,true
ICU-ARCHIVE-aix-CNS11643.1986_1-4.3.6,CNS11643.1986_1,Iconvex.Specs.ICUArchive.Codecs.C1,false
ICU-ARCHIVE-aix-CNS11643.1986_2-4.3.6,CNS11643.1986_2,Iconvex.Specs.ICUArchive.Codecs.C2,false
ICU-ARCHIVE-aix-IBM_1046-4.3.6,IBM_1046,Iconvex.Specs.ICUArchive.Codecs.C3,false
ICU-ARCHIVE-aix-IBM_1124-4.3.6,IBM_1124,Iconvex.Specs.ICUArchive.Codecs.C4,false
ICU-ARCHIVE-aix-IBM_1129-4.3.6,IBM_1129,Iconvex.Specs.ICUArchive.Codecs.C5,false
ICU-ARCHIVE-aix-IBM_1252-4.3.6,IBM_1252,Iconvex.Specs.ICUArchive.Codecs.C6,false
ICU-ARCHIVE-aix-IBM_850-4.3.6,IBM_850,Iconvex.Specs.ICUArchive.Codecs.C7,false
ICU-ARCHIVE-aix-IBM_856-4.3.6,IBM_856,Iconvex.Specs.ICUArchive.Codecs.C8,false
ICU-ARCHIVE-aix-IBM_858-4.3.6,IBM_858,Iconvex.Specs.ICUArchive.Codecs.C9,false
ICU-ARCHIVE-aix-IBM_932-4.3.6,IBM_932,Iconvex.Specs.ICUArchive.Codecs.C10,false
ICU-ARCHIVE-aix-IBM_943-4.3.6,IBM_943,Iconvex.Specs.ICUArchive.Codecs.C11,false
ICU-ARCHIVE-aix-IBM_eucJP-4.3.6,IBM_eucJP,Iconvex.Specs.ICUArchive.Codecs.C12,false
ICU-ARCHIVE-aix-IBM_eucKR-4.3.6,IBM_eucKR,Iconvex.Specs.ICUArchive.Codecs.C13,false
ICU-ARCHIVE-aix-IBM_eucTW-4.3.6,IBM_eucTW,Iconvex.Specs.ICUArchive.Codecs.C14,false
ICU-ARCHIVE-aix-IBM_udcJP-4.3.6,aix-IBM_udcJP-4.3.6,Iconvex.Specs.ICUArchive.Codecs.C15,false
ICU-ARCHIVE-aix-IBM_udcJP_GR-4.3.6,IBM_udcJP_GR,Iconvex.Specs.ICUArchive.Codecs.C16,false
ICU-ARCHIVE-aix-ISO8859_1-4.3.6,ISO8859_1,Iconvex.Specs.ICUArchive.Codecs.C17,false
ICU-ARCHIVE-aix-ISO8859_15-4.3.6,ISO8859_15,Iconvex.Specs.ICUArchive.Codecs.C18,false
ICU-ARCHIVE-aix-ISO8859_2-4.3.6,ISO8859_2,Iconvex.Specs.ICUArchive.Codecs.C19,false
ICU-ARCHIVE-aix-ISO8859_3-4.3.6,ISO8859_3,Iconvex.Specs.ICUArchive.Codecs.C20,false
ICU-ARCHIVE-aix-ISO8859_4-4.3.6,ISO8859_4,Iconvex.Specs.ICUArchive.Codecs.C21,false
ICU-ARCHIVE-aix-ISO8859_5-4.3.6,ISO8859_5,Iconvex.Specs.ICUArchive.Codecs.C22,false
ICU-ARCHIVE-aix-ISO8859_6-4.3.6,ISO8859_6,Iconvex.Specs.ICUArchive.Codecs.C23,false
ICU-ARCHIVE-aix-ISO8859_7-4.3.6,ISO8859_7,Iconvex.Specs.ICUArchive.Codecs.C24,false
ICU-ARCHIVE-aix-ISO8859_8-4.3.6,ISO8859_8,Iconvex.Specs.ICUArchive.Codecs.C25,false
ICU-ARCHIVE-aix-ISO8859_9-4.3.6,ISO8859_9,Iconvex.Specs.ICUArchive.Codecs.C26,false
ICU-ARCHIVE-aix-JISX0201.1976_0-4.3.6,JISX0201.1976_0,Iconvex.Specs.ICUArchive.Codecs.C27,false
ICU-ARCHIVE-aix-JISX0201.1976_GR-4.3.6,JISX0201.1976_GR,Iconvex.Specs.ICUArchive.Codecs.C28,false
ICU-ARCHIVE-aix-JISX0208.1983_0-4.3.6,JISX0208.1983_0,Iconvex.Specs.ICUArchive.Codecs.C29,false
ICU-ARCHIVE-aix-JISX0208.1983_GR-4.3.6,JISX0208.1983_GR,Iconvex.Specs.ICUArchive.Codecs.C30,false
ICU-ARCHIVE-aix-KSC5601.1987_0-4.3.6,KSC5601.1987_0,Iconvex.Specs.ICUArchive.Codecs.C31,false
ICU-ARCHIVE-aix-TIS_620-4.3.6,,Iconvex.Specs.ICUArchive.Codecs.C32,false
ICU-ARCHIVE-aix-big5-4.3.6,,Iconvex.Specs.ICUArchive.Codecs.C33,false
ICU-ARCHIVE-cns-11643-1992,,Iconvex.Specs.ICUArchive.Codecs.C34,false
ICU-ARCHIVE-euc-jp-2007,,Iconvex.Specs.ICUArchive.Codecs.C35,false
ICU-ARCHIVE-euc-tw-2014,,Iconvex.Specs.ICUArchive.Codecs.C36,false
ICU-ARCHIVE-gb-18030-2000,,Iconvex.Specs.ICUArchive.Codecs.C37,false
ICU-ARCHIVE-gb-18030-2005,,Iconvex.Specs.ICUArchive.Codecs.C38,false
ICU-ARCHIVE-glibc-ANSI_X3.110-2.1.2,ANSI_X3.110,Iconvex.Specs.ICUArchive.Codecs.C39,false
ICU-ARCHIVE-glibc-ANSI_X3.110-2.3.3,glibc-ANSI_X3.110-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C40,false
ICU-ARCHIVE-glibc-ARMSCII_8-2.3.3,glibc-ARMSCII_8-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C41,false
ICU-ARCHIVE-glibc-ASMO_449-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C42,false
ICU-ARCHIVE-glibc-BALTIC-2.1.2,BALTIC,Iconvex.Specs.ICUArchive.Codecs.C43,false
ICU-ARCHIVE-glibc-BIG5-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C44,false
ICU-ARCHIVE-glibc-BIG5-2.3.3,glibc-BIG5-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C45,false
ICU-ARCHIVE-glibc-BIG5HKSCS-2.3.3,glibc-BIG5HKSCS-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C46,false
ICU-ARCHIVE-glibc-BS_4730-2.3.3,glibc-BS_4730-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C47,false
ICU-ARCHIVE-glibc-CP10007-2.3.3,glibc-CP10007-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C48,false
ICU-ARCHIVE-glibc-CP1125-2.3.3,glibc-CP1125-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C49,false
ICU-ARCHIVE-glibc-CP1250-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C50,false
ICU-ARCHIVE-glibc-CP1251-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C51,false
ICU-ARCHIVE-glibc-CP1252-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C52,false
ICU-ARCHIVE-glibc-CP1253-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C53,false
ICU-ARCHIVE-glibc-CP1254-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C54,false
ICU-ARCHIVE-glibc-CP1255-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C55,false
ICU-ARCHIVE-glibc-CP1256-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C56,false
ICU-ARCHIVE-glibc-CP1257-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C57,false
ICU-ARCHIVE-glibc-CP1258-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C58,false
ICU-ARCHIVE-glibc-CP737-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C59,false
ICU-ARCHIVE-glibc-CP775-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C60,false
ICU-ARCHIVE-glibc-CP932-2.3.3,glibc-CP932-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C61,false
ICU-ARCHIVE-glibc-CSA_Z243.4_1985_1-2.3.3,glibc-CSA_Z243.4_1985_1-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C62,false
ICU-ARCHIVE-glibc-CSA_Z243.4_1985_2-2.3.3,glibc-CSA_Z243.4_1985_2-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C63,false
ICU-ARCHIVE-glibc-CSN_369103-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C64,false
ICU-ARCHIVE-glibc-CWI-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C65,false
ICU-ARCHIVE-glibc-DEC_MCS-2.1.2,DEC_MCS,Iconvex.Specs.ICUArchive.Codecs.C66,false
ICU-ARCHIVE-glibc-DIN_66003-2.3.3,glibc-DIN_66003-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C67,false
ICU-ARCHIVE-glibc-DS_2089-2.3.3,glibc-DS_2089-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C68,false
ICU-ARCHIVE-glibc-EBCDIC_AT_DE-2.1.2,EBCDIC_AT_DE,Iconvex.Specs.ICUArchive.Codecs.C69,false
ICU-ARCHIVE-glibc-EBCDIC_AT_DE_A-2.1.2,EBCDIC_AT_DE_A,Iconvex.Specs.ICUArchive.Codecs.C70,false
ICU-ARCHIVE-glibc-EBCDIC_CA_FR-2.1.2,EBCDIC_CA_FR,Iconvex.Specs.ICUArchive.Codecs.C71,false
ICU-ARCHIVE-glibc-EBCDIC_DK_NO-2.1.2,EBCDIC_DK_NO,Iconvex.Specs.ICUArchive.Codecs.C72,false
ICU-ARCHIVE-glibc-EBCDIC_DK_NO_A-2.1.2,EBCDIC_DK_NO_A,Iconvex.Specs.ICUArchive.Codecs.C73,false
ICU-ARCHIVE-glibc-EBCDIC_ES-2.1.2,EBCDIC_ES,Iconvex.Specs.ICUArchive.Codecs.C74,false
ICU-ARCHIVE-glibc-EBCDIC_ES_A-2.1.2,EBCDIC_ES_A,Iconvex.Specs.ICUArchive.Codecs.C75,false
ICU-ARCHIVE-glibc-EBCDIC_ES_S-2.1.2,EBCDIC_ES_S,Iconvex.Specs.ICUArchive.Codecs.C76,false
ICU-ARCHIVE-glibc-EBCDIC_FI_SE-2.1.2,EBCDIC_FI_SE,Iconvex.Specs.ICUArchive.Codecs.C77,false
ICU-ARCHIVE-glibc-EBCDIC_FI_SE_A-2.1.2,EBCDIC_FI_SE_A,Iconvex.Specs.ICUArchive.Codecs.C78,false
ICU-ARCHIVE-glibc-EBCDIC_FR-2.1.2,EBCDIC_FR,Iconvex.Specs.ICUArchive.Codecs.C79,false
ICU-ARCHIVE-glibc-EBCDIC_IS_FRISS-2.1.2,EBCDIC_IS_FRISS,Iconvex.Specs.ICUArchive.Codecs.C80,false
ICU-ARCHIVE-glibc-EBCDIC_IT-2.1.2,EBCDIC_IT,Iconvex.Specs.ICUArchive.Codecs.C81,false
ICU-ARCHIVE-glibc-EBCDIC_PT-2.1.2,EBCDIC_PT,Iconvex.Specs.ICUArchive.Codecs.C82,false
ICU-ARCHIVE-glibc-EBCDIC_UK-2.1.2,EBCDIC_UK,Iconvex.Specs.ICUArchive.Codecs.C83,false
ICU-ARCHIVE-glibc-EBCDIC_US-2.1.2,EBCDIC_US,Iconvex.Specs.ICUArchive.Codecs.C84,false
ICU-ARCHIVE-glibc-ECMA_CYRILLIC-2.3.3,glibc-ECMA_CYRILLIC-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C85,false
ICU-ARCHIVE-glibc-ES-2.3.3,glibc-ES-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C86,false
ICU-ARCHIVE-glibc-ES2-2.3.3,glibc-ES2-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C87,false
ICU-ARCHIVE-glibc-EUC_CN-2.1.2,EUC_CN,Iconvex.Specs.ICUArchive.Codecs.C88,false
ICU-ARCHIVE-glibc-EUC_CN-2.3.3,glibc-EUC_CN-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C89,false
ICU-ARCHIVE-glibc-EUC_JP-2.1.2,EUC_JP,Iconvex.Specs.ICUArchive.Codecs.C90,false
ICU-ARCHIVE-glibc-EUC_JP-2.3.3,glibc-EUC_JP-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C91,false
ICU-ARCHIVE-glibc-EUC_JP_MS-2.3.3,glibc-EUC_JP_MS-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C92,false
ICU-ARCHIVE-glibc-EUC_KR-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C93,false
ICU-ARCHIVE-glibc-EUC_KR-2.3.3,glibc-EUC_KR-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C94,false
ICU-ARCHIVE-glibc-EUC_TW-2.1.2,EUC_TW,Iconvex.Specs.ICUArchive.Codecs.C95,false
ICU-ARCHIVE-glibc-GBK-2.3.3,glibc-GBK-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C96,false
ICU-ARCHIVE-glibc-GB_1988_80-2.3.3,glibc-GB_1988_80-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C97,false
ICU-ARCHIVE-glibc-GEORGIAN_ACADEMY-2.3.3,glibc-GEORGIAN_ACADEMY-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C98,false
ICU-ARCHIVE-glibc-GEORGIAN_PS-2.3.3,glibc-GEORGIAN_PS-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C99,false
ICU-ARCHIVE-glibc-GOST_19768_74-2.1.2,GOST_19768_74,Iconvex.Specs.ICUArchive.Codecs.C100,false
ICU-ARCHIVE-glibc-GREEK7-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C101,false
ICU-ARCHIVE-glibc-GREEK7_OLD-2.1.2,GREEK7_OLD,Iconvex.Specs.ICUArchive.Codecs.C102,false
ICU-ARCHIVE-glibc-GREEK_CCITT-2.1.2,GREEK_CCITT,Iconvex.Specs.ICUArchive.Codecs.C103,false
ICU-ARCHIVE-glibc-HP_ROMAN8-2.1.2,HP_ROMAN8,Iconvex.Specs.ICUArchive.Codecs.C104,false
ICU-ARCHIVE-glibc-IBM037-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C105,false
ICU-ARCHIVE-glibc-IBM038-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C106,false
ICU-ARCHIVE-glibc-IBM1004-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C107,false
ICU-ARCHIVE-glibc-IBM1026-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C108,false
ICU-ARCHIVE-glibc-IBM1046-2.3.3,glibc-IBM1046-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C109,false
ICU-ARCHIVE-glibc-IBM1047-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C110,false
ICU-ARCHIVE-glibc-IBM1124-2.3.3,glibc-IBM1124-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C111,false
ICU-ARCHIVE-glibc-IBM1129-2.3.3,glibc-IBM1129-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C112,false
ICU-ARCHIVE-glibc-IBM1132-2.3.3,glibc-IBM1132-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C113,false
ICU-ARCHIVE-glibc-IBM1133-2.3.3,glibc-IBM1133-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C114,false
ICU-ARCHIVE-glibc-IBM1160-2.3.3,glibc-IBM1160-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C115,false
ICU-ARCHIVE-glibc-IBM1161-2.3.3,glibc-IBM1161-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C116,false
ICU-ARCHIVE-glibc-IBM1162-2.3.3,glibc-IBM1162-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C117,false
ICU-ARCHIVE-glibc-IBM1163-2.3.3,glibc-IBM1163-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C118,false
ICU-ARCHIVE-glibc-IBM1164-2.3.3,glibc-IBM1164-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C119,false
ICU-ARCHIVE-glibc-IBM256-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C120,false
ICU-ARCHIVE-glibc-IBM273-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C121,false
ICU-ARCHIVE-glibc-IBM274-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C122,false
ICU-ARCHIVE-glibc-IBM275-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C123,false
ICU-ARCHIVE-glibc-IBM277-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C124,false
ICU-ARCHIVE-glibc-IBM278-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C125,false
ICU-ARCHIVE-glibc-IBM280-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C126,false
ICU-ARCHIVE-glibc-IBM281-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C127,false
ICU-ARCHIVE-glibc-IBM284-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C128,false
ICU-ARCHIVE-glibc-IBM285-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C129,false
ICU-ARCHIVE-glibc-IBM290-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C130,false
ICU-ARCHIVE-glibc-IBM297-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C131,false
ICU-ARCHIVE-glibc-IBM420-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C132,false
ICU-ARCHIVE-glibc-IBM423-2.1.2,IBM423,Iconvex.Specs.ICUArchive.Codecs.C133,false
ICU-ARCHIVE-glibc-IBM424-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C134,false
ICU-ARCHIVE-glibc-IBM437-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C135,false
ICU-ARCHIVE-glibc-IBM500-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C136,false
ICU-ARCHIVE-glibc-IBM850-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C137,false
ICU-ARCHIVE-glibc-IBM851-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C138,false
ICU-ARCHIVE-glibc-IBM852-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C139,false
ICU-ARCHIVE-glibc-IBM855-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C140,false
ICU-ARCHIVE-glibc-IBM856-2.3.3,glibc-IBM856-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C141,false
ICU-ARCHIVE-glibc-IBM857-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C142,false
ICU-ARCHIVE-glibc-IBM860-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C143,false
ICU-ARCHIVE-glibc-IBM861-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C144,false
ICU-ARCHIVE-glibc-IBM862-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C145,false
ICU-ARCHIVE-glibc-IBM863-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C146,false
ICU-ARCHIVE-glibc-IBM864-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C147,false
ICU-ARCHIVE-glibc-IBM864-2.3.3,glibc-IBM864-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C148,false
ICU-ARCHIVE-glibc-IBM865-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C149,false
ICU-ARCHIVE-glibc-IBM866-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C150,false
ICU-ARCHIVE-glibc-IBM866NAV-2.3.3,glibc-IBM866NAV-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C151,false
ICU-ARCHIVE-glibc-IBM868-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C152,false
ICU-ARCHIVE-glibc-IBM869-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C153,false
ICU-ARCHIVE-glibc-IBM870-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C154,false
ICU-ARCHIVE-glibc-IBM870-2.3.3,glibc-IBM870-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C155,false
ICU-ARCHIVE-glibc-IBM871-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C156,false
ICU-ARCHIVE-glibc-IBM874-2.1.2,IBM874,Iconvex.Specs.ICUArchive.Codecs.C157,false
ICU-ARCHIVE-glibc-IBM874-2.3.3,glibc-IBM874-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C158,false
ICU-ARCHIVE-glibc-IBM875-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C159,false
ICU-ARCHIVE-glibc-IBM880-2.1.2,IBM880,Iconvex.Specs.ICUArchive.Codecs.C160,false
ICU-ARCHIVE-glibc-IBM891-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C161,false
ICU-ARCHIVE-glibc-IBM903-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C162,false
ICU-ARCHIVE-glibc-IBM904-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C163,false
ICU-ARCHIVE-glibc-IBM905-2.1.2,IBM905,Iconvex.Specs.ICUArchive.Codecs.C164,false
ICU-ARCHIVE-glibc-IBM918-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C165,false
ICU-ARCHIVE-glibc-IBM922-2.3.3,glibc-IBM922-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C166,false
ICU-ARCHIVE-glibc-IBM943-2.3.3,glibc-IBM943-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C167,false
ICU-ARCHIVE-glibc-IEC_P27_1-2.1.2,IEC_P27_1,Iconvex.Specs.ICUArchive.Codecs.C168,false
ICU-ARCHIVE-glibc-INIS-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C169,false
ICU-ARCHIVE-glibc-INIS_8-2.1.2,INIS_8,Iconvex.Specs.ICUArchive.Codecs.C170,false
ICU-ARCHIVE-glibc-INIS_CYRILLIC-2.1.2,INIS_CYRILLIC,Iconvex.Specs.ICUArchive.Codecs.C171,false
ICU-ARCHIVE-glibc-ISIRI_3342-2.3.3,glibc-ISIRI_3342-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C172,false
ICU-ARCHIVE-glibc-ISO646_US-2.1.2,ISO646_US,Iconvex.Specs.ICUArchive.Codecs.C173,false
ICU-ARCHIVE-glibc-ISO_10367_BOX-2.1.2,ISO_10367_BOX,Iconvex.Specs.ICUArchive.Codecs.C174,false
ICU-ARCHIVE-glibc-ISO_5427-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C175,false
ICU-ARCHIVE-glibc-ISO_5427_EXT-2.1.2,ISO_5427_EXT,Iconvex.Specs.ICUArchive.Codecs.C176,false
ICU-ARCHIVE-glibc-ISO_5428-2.1.2,ISO_5428,Iconvex.Specs.ICUArchive.Codecs.C177,false
ICU-ARCHIVE-glibc-ISO_5428-2.3.3,glibc-ISO_5428-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C178,false
ICU-ARCHIVE-glibc-ISO_6937-2.3.3,glibc-ISO_6937-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C179,false
ICU-ARCHIVE-glibc-ISO_8859_1-2.1.2,ISO_8859_1,Iconvex.Specs.ICUArchive.Codecs.C180,false
ICU-ARCHIVE-glibc-ISO_8859_10-2.1.2,ISO_8859_10,Iconvex.Specs.ICUArchive.Codecs.C181,false
ICU-ARCHIVE-glibc-ISO_8859_11-2.1.2,ISO_8859_11,Iconvex.Specs.ICUArchive.Codecs.C182,false
ICU-ARCHIVE-glibc-ISO_8859_13-2.1.2,ISO_8859_13,Iconvex.Specs.ICUArchive.Codecs.C183,false
ICU-ARCHIVE-glibc-ISO_8859_13-2.3.3,glibc-ISO_8859_13-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C184,false
ICU-ARCHIVE-glibc-ISO_8859_14-2.1.2,ISO_8859_14,Iconvex.Specs.ICUArchive.Codecs.C185,false
ICU-ARCHIVE-glibc-ISO_8859_15-2.1.2,ISO_8859_15,Iconvex.Specs.ICUArchive.Codecs.C186,false
ICU-ARCHIVE-glibc-ISO_8859_16-2.3.3,glibc-ISO_8859_16-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C187,false
ICU-ARCHIVE-glibc-ISO_8859_2-2.1.2,ISO_8859_2,Iconvex.Specs.ICUArchive.Codecs.C188,false
ICU-ARCHIVE-glibc-ISO_8859_3-2.1.2,ISO_8859_3,Iconvex.Specs.ICUArchive.Codecs.C189,false
ICU-ARCHIVE-glibc-ISO_8859_4-2.1.2,ISO_8859_4,Iconvex.Specs.ICUArchive.Codecs.C190,false
ICU-ARCHIVE-glibc-ISO_8859_5-2.1.2,ISO_8859_5,Iconvex.Specs.ICUArchive.Codecs.C191,false
ICU-ARCHIVE-glibc-ISO_8859_6-2.1.2,ISO_8859_6,Iconvex.Specs.ICUArchive.Codecs.C192,false
ICU-ARCHIVE-glibc-ISO_8859_7-2.1.2,ISO_8859_7,Iconvex.Specs.ICUArchive.Codecs.C193,false
ICU-ARCHIVE-glibc-ISO_8859_7-2.3.3,glibc-ISO_8859_7-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C194,false
ICU-ARCHIVE-glibc-ISO_8859_8-2.1.2,ISO_8859_8,Iconvex.Specs.ICUArchive.Codecs.C195,false
ICU-ARCHIVE-glibc-ISO_8859_8-2.3.3,glibc-ISO_8859_8-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C196,false
ICU-ARCHIVE-glibc-ISO_8859_9-2.1.2,ISO_8859_9,Iconvex.Specs.ICUArchive.Codecs.C197,false
ICU-ARCHIVE-glibc-ISO_IR_197-2.1.2,ISO_IR_197,Iconvex.Specs.ICUArchive.Codecs.C198,false
ICU-ARCHIVE-glibc-ISO_IR_209-2.3.3,glibc-ISO_IR_209-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C199,false
ICU-ARCHIVE-glibc-IT-2.3.3,glibc-IT-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C200,false
ICU-ARCHIVE-glibc-JIS_C6220_1969_RO-2.3.3,glibc-JIS_C6220_1969_RO-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C201,false
ICU-ARCHIVE-glibc-JIS_C6229_1984_B-2.3.3,glibc-JIS_C6229_1984_B-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C202,false
ICU-ARCHIVE-glibc-JOHAB-2.3.3,glibc-JOHAB-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C203,false
ICU-ARCHIVE-glibc-JUS_I.B1.002-2.3.3,glibc-JUS_I.B1.002-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C204,false
ICU-ARCHIVE-glibc-KOI8_R-2.1.2,,Iconvex.Specs.ICUArchive.Codecs.C205,false
ICU-ARCHIVE-glibc-KOI8_R-2.3.3,glibc-KOI8_R-2.3.3,Iconvex.Specs.ICUArchive.Codecs.C206,false
