canonical,aliases,module,stateful
CP437-N5028-VIDEO,IBMPCVID,Iconvex.Specs.LegacyComputingN5028.Codecs.C31,false
CP51950,windows-51950,Iconvex.Specs.MicrosoftCP51950,false
CP770,,Iconvex.Specs.GlibcCharmaps.Codecs.C3,false
CP771,,Iconvex.Specs.GlibcCharmaps.Codecs.C4,false
CP772,,Iconvex.Specs.GlibcCharmaps.Codecs.C5,false
CP773,,Iconvex.Specs.GlibcCharmaps.Codecs.C6,false
CP774,,Iconvex.Specs.GlibcCharmaps.Codecs.C7,false
CSA_Z243.4-1985-1,ISO646-CA|ca|csa7-1|iso-ir-121,Iconvex.Specs.RFC1345.Codecs.C058,false
CSA_Z243.4-1985-2,ISO646-CA2|csa7-2|iso-ir-122,Iconvex.Specs.RFC1345.Codecs.C059,false
CSA_Z243.4-1985-gr,iso-ir-123,Iconvex.Specs.RFC1345.Codecs.C060,false
CSN_369103,iso-ir-139,Iconvex.Specs.RFC1345.Codecs.C065,false
CTAN-LY1-TEXNANSI-1.1-AGL-4036A9CA,CTAN-TEXNANSI-1.1-AGL-4036A9CA,Iconvex.Specs.LY1TexnANSI11AGL4036A9CA,false
CWI,CP-HU|CWI-2,Iconvex.Specs.GlibcCharmaps.Codecs.C8,false
DEC-026-CARD-IOWA-824E61A9-16BE,DEC-026-PUNCHED-CARD-IOWA-824E61A9-16BE,Iconvex.Specs.DEC026CardIowa824E61A9_16BE,false
DEC-026-CARD-IOWA-824E61A9-16LE,DEC-026-PUNCHED-CARD-IOWA-824E61A9-16LE,Iconvex.Specs.DEC026CardIowa824E61A9_16LE,false
DEC-029-CARD-IOWA-824E61A9-16BE,DEC-029-PUNCHED-CARD-IOWA-824E61A9-16BE,Iconvex.Specs.DEC029CardIowa824E61A9_16BE,false
DEC-029-CARD-IOWA-824E61A9-16LE,DEC-029-PUNCHED-CARD-IOWA-824E61A9-16LE,Iconvex.Specs.DEC029CardIowa824E61A9_16LE,false
DEC-GREEK-8-1994,CCSID1287|CP1287|DEC-GREEK|DEC-GREEK-8|DEC-GREEK-8-BIT|EL8DEC|IBM-1287|IBM1287,Iconvex.Specs.DECGreek81994,false
DEC-HEBREW-8,DEC-HEBREW|DEC-HEBREW-8-BIT|DEC-HEBREW-8BIT,Iconvex.Specs.DECHebrew8,false
DEC-MCS,dec,Iconvex.Specs.RFC1345.Codecs.C088,false
DEC-NRC-DUTCH,DUTCH|DUTCH-NRC,Iconvex.Specs.DECNRCDutch,false
DEC-NRC-FINNISH,FINNISH|FINNISH-NRC,Iconvex.Specs.DECNRCFinnish,false
DEC-NRC-FRENCH,FRENCH|FRENCH-NRC,Iconvex.Specs.DECNRCFrench,false
DEC-NRC-FRENCH-CANADIAN,CANADIAN-FRENCH|FRENCH-CANADIAN,Iconvex.Specs.DECNRCFrenchCanadian,false
DEC-NRC-GERMAN,GERMAN|GERMAN-NRC,Iconvex.Specs.DECNRCGerman,false
DEC-NRC-ITALIAN,ITALIAN|ITALIAN-NRC,Iconvex.Specs.DECNRCItalian,false
DEC-NRC-NORWEGIAN-DANISH,DANISH|NORWEGIAN|NORWEGIAN-DANISH,Iconvex.Specs.DECNRCNorwegianDanish,false
DEC-NRC-PORTUGUESE,PORTUGUESE|PORTUGUESE-NRC,Iconvex.Specs.DECNRCPortuguese,false
DEC-NRC-SPANISH,SPANISH|SPANISH-NRC,Iconvex.Specs.DECNRCSpanish,false
DEC-NRC-SWEDISH,SWEDISH|SWEDISH-NRC,Iconvex.Specs.DECNRCSwedish,false
