profile,token,unicode,origin
mac,EFF3,1EDE,source_vietnamese
mac,EFF4,1EDA,source_vietnamese
mac,F1,1ECA,source_vietnamese
email,00,0000,ascii_identity
email,01,0001,ascii_identity
email,02,0002,ascii_identity
email,03,0003,ascii_identity
email,04,0004,ascii_identity
email,05,0005,ascii_identity
email,06,0006,ascii_identity
email,07,0007,ascii_identity
email,08,0008,ascii_identity
email,09,0009,ascii_identity
email,0A,000A,ascii_identity
email,0B,000B,ascii_identity
email,0C,000C,ascii_identity
email,0D,000D,ascii_identity
email,0E,000E,ascii_identity
email,0F,000F,ascii_identity
email,10,0010,ascii_identity
email,11,0011,ascii_identity
email,12,0012,ascii_identity
email,13,0013,ascii_identity
email,14,0014,ascii_identity
email,15,0015,ascii_identity
email,16,0016,ascii_identity
email,17,0017,ascii_identity
email,18,0018,ascii_identity
email,19,0019,ascii_identity
email,1A,001A,ascii_identity
email,1B,001B,ascii_identity
email,1C,001C,ascii_identity
email,1D,001D,ascii_identity
email,1E,001E,ascii_identity
email,1F,001F,ascii_identity
email,20,0020,ascii_identity
email,21,0021,ascii_identity
email,22,0022,ascii_identity
email,23,0023,ascii_identity
email,24,0024,ascii_identity
email,25,0025,ascii_identity
email,26,0026,ascii_identity
email,27,0027,ascii_identity
email,28,0028,ascii_identity
email,29,0029,ascii_identity
email,2A,002A,ascii_identity
email,2B,002B,ascii_identity
email,2C,002C,ascii_identity
email,2D,002D,ascii_identity
email,2E,002E,ascii_identity
email,2F,002F,ascii_identity
email,30,0030,ascii_identity
email,31,0031,ascii_identity
email,32,0032,ascii_identity
email,33,0033,ascii_identity
email,34,0034,ascii_identity
email,35,0035,ascii_identity
email,36,0036,ascii_identity
email,37,0037,ascii_identity
email,38,0038,ascii_identity
email,39,0039,ascii_identity
email,3A,003A,ascii_identity
email,3B,003B,ascii_identity
email,3C,003C,ascii_identity
email,3D,003D,ascii_identity
email,3E,003E,ascii_identity
email,3F,003F,ascii_identity
email,40,0040,ascii_identity
email,41,0041,ascii_identity
email,4127,00C1,source_vietnamese
email,415E,00C2,source_vietnamese
email,415E27,1EA4,source_vietnamese
email,415E60,1EA6,source_vietnamese
email,415E7B,1EA8,source_vietnamese
email,415E7D,1EAC,source_vietnamese
email,415E7E,1EAA,source_vietnamese
email,4160,00C0,source_vietnamese
email,417B,1EA2,source_vietnamese
email,417C,0102,source_vietnamese
email,417C27,1EAE,source_vietnamese
email,417C60,1EB0,source_vietnamese
email,417C7B,1EB2,source_vietnamese
email,417C7D,1EB6,source_vietnamese
email,417C7E,1EB4,source_vietnamese
email,417D,1EA0,source_vietnamese
email,417E,00C3,source_vietnamese
email,42,0042,ascii_identity
email,43,0043,ascii_identity
email,44,0044,ascii_identity
email,445F,0110,source_vietnamese
email,45,0045,ascii_identity
email,4527,00C9,source_vietnamese
email,455E,00CA,source_vietnamese
email,455E27,1EBE,source_vietnamese
email,455E60,1EC0,source_vietnamese
email,455E7B,1EC2,source_vietnamese
email,455E7D,1EC6,source_vietnamese
email,455E7E,1EC4,source_vietnamese
email,4560,00C8,source_vietnamese
email,457B,1EBA,source_vietnamese
email,457D,1EB8,source_vietnamese
email,457E,1EBC,source_vietnamese
email,46,0046,ascii_identity
email,47,0047,ascii_identity
email,48,0048,ascii_identity
email,49,0049,ascii_identity
email,4927,00CD,source_vietnamese
email,4960,00CC,source_vietnamese
email,497B,1EC8,source_vietnamese
email,497D,1ECA,source_vietnamese
email,497E,0128,source_vietnamese
email,4A,004A,ascii_identity
email,4B,004B,ascii_identity
email,4C,004C,ascii_identity
email,4D,004D,ascii_identity
email,4E,004E,ascii_identity
email,4F,004F,ascii_identity
email,4F27,00D3,source_vietnamese
email,4F2A,01A0,source_vietnamese
email,4F2A27,1EDA,source_vietnamese
email,4F2A60,1EDC,source_vietnamese
email,4F2A7B,1EDE,source_vietnamese
email,4F2A7D,1EE2,source_vietnamese
email,4F2A7E,1EE0,source_vietnamese
email,4F5E,00D4,source_vietnamese
email,4F5E27,1ED0,source_vietnamese
email,4F5E60,1ED2,source_vietnamese
email,4F5E7B,1ED4,source_vietnamese
email,4F5E7D,1ED8,source_vietnamese
email,4F5E7E,1ED6,source_vietnamese
email,4F60,00D2,source_vietnamese
email,4F7B,1ECE,source_vietnamese
email,4F7D,1ECC,source_vietnamese
email,4F7E,00D5,source_vietnamese
email,50,0050,ascii_identity
email,51,0051,ascii_identity
email,52,0052,ascii_identity
email,53,0053,ascii_identity
email,54,0054,ascii_identity
email,55,0055,ascii_identity
email,5527,00DA,source_vietnamese
email,552A,01AF,source_vietnamese
email,552A27,1EE8,source_vietnamese
email,552A60,1EEA,source_vietnamese
email,552A7B,1EEC,source_vietnamese
email,552A7D,1EF0,source_vietnamese
email,552A7E,1EEE,source_vietnamese
email,5560,00D9,source_vietnamese
email,557B,1EE6,source_vietnamese
email,557D,1EE4,source_vietnamese
email,557E,0168,source_vietnamese
email,56,0056,ascii_identity
email,57,0057,ascii_identity
email,58,0058,ascii_identity
email,59,0059,ascii_identity
email,5927,00DD,source_vietnamese
email,5960,1EF2,source_vietnamese
email,597B,1EF6,source_vietnamese
email,597D,1EF4,source_vietnamese
email,597E,1EF8,source_vietnamese
email,5A,005A,ascii_identity
email,5B,005B,ascii_identity
email,5C,005C,ascii_identity
email,5D,005D,ascii_identity
email,5E,005E,ascii_identity
email,5F,005F,ascii_identity
email,60,0060,ascii_identity
email,61,0061,ascii_identity
email,6127,00E1,source_vietnamese
email,615E,00E2,source_vietnamese
email,615E27,1EA5,source_vietnamese
email,615E60,1EA7,source_vietnamese
email,615E7B,1EA9,source_vietnamese
email,615E7D,1EAD,source_vietnamese
email,615E7E,1EAB,source_vietnamese
email,6160,00E0,source_vietnamese
email,617B,1EA3,source_vietnamese
email,617C,0103,source_vietnamese
email,617C27,1EAF,source_vietnamese
email,617C60,1EB1,source_vietnamese
email,617C7B,1EB3,source_vietnamese
email,617C7D,1EB7,source_vietnamese
email,617C7E,1EB5,source_vietnamese
email,617D,1EA1,source_vietnamese
email,617E,00E3,source_vietnamese
email,62,0062,ascii_identity
email,63,0063,ascii_identity
email,64,0064,ascii_identity
email,645F,0111,source_vietnamese
email,65,0065,ascii_identity
email,6527,00E9,source_vietnamese
email,655E,00EA,source_vietnamese
email,655E27,1EBF,source_vietnamese
email,655E60,1EC1,source_vietnamese
email,655E7B,1EC3,source_vietnamese
email,655E7D,1EC7,source_vietnamese
email,655E7E,1EC5,source_vietnamese
email,6560,00E8,source_vietnamese
email,657B,1EBB,source_vietnamese
email,657D,1EB9,source_vietnamese
email,657E,1EBD,source_vietnamese
email,66,0066,ascii_identity
email,67,0067,ascii_identity
email,68,0068,ascii_identity
email,69,0069,ascii_identity
email,6927,00ED,source_vietnamese
email,6960,00EC,source_vietnamese
email,697B,1EC9,source_vietnamese
email,697D,1ECB,source_vietnamese
email,697E,0129,source_vietnamese
email,6A,006A,ascii_identity
email,6B,006B,ascii_identity
email,6C,006C,ascii_identity
email,6D,006D,ascii_identity
email,6E,006E,ascii_identity
email,6F,006F,ascii_identity
email,6F27,00F3,source_vietnamese
email,6F2A,01A1,source_vietnamese
email,6F2A27,1EDB,source_vietnamese
email,6F2A60,1EDD,source_vietnamese
email,6F2A7B,1EDF,source_vietnamese
email,6F2A7D,1EE3,source_vietnamese
email,6F2A7E,1EE1,source_vietnamese
email,6F5E,00F4,source_vietnamese
email,6F5E27,1ED1,source_vietnamese
email,6F5E60,1ED3,source_vietnamese
email,6F5E7B,1ED5,source_vietnamese
email,6F5E7D,1ED9,source_vietnamese
email,6F5E7E,1ED7,source_vietnamese
email,6F60,00F2,source_vietnamese
email,6F7B,1ECF,source_vietnamese
email,6F7D,1ECD,source_vietnamese
email,6F7E,00F5,source_vietnamese
email,70,0070,ascii_identity
email,71,0071,ascii_identity
email,72,0072,ascii_identity
email,73,0073,ascii_identity
email,74,0074,ascii_identity
email,75,0075,ascii_identity
email,7527,00FA,source_vietnamese
email,752A,01B0,source_vietnamese
email,752A27,1EE9,source_vietnamese
email,752A60,1EEB,source_vietnamese
email,752A7B,1EED,source_vietnamese
email,752A7D,1EF1,source_vietnamese
email,752A7E,1EEF,source_vietnamese
email,7560,00F9,source_vietnamese
email,757B,1EE7,source_vietnamese
email,757D,1EE5,source_vietnamese
email,757E,0169,source_vietnamese
email,76,0076,ascii_identity
email,77,0077,ascii_identity
email,78,0078,ascii_identity
email,79,0079,ascii_identity
email,7927,00FD,source_vietnamese
email,7960,1EF3,source_vietnamese
email,797B,1EF7,source_vietnamese
email,797D,1EF5,source_vietnamese
email,797E,1EF9,source_vietnamese
email,7A,007A,ascii_identity
email,7B,007B,ascii_identity
email,7C,007C,ascii_identity
email,7D,007D,ascii_identity
email,7E,007E,ascii_identity
email,7F,007F,ascii_identity
