catalog_id,name,aliases,kinds,confidence,gnu_libiconv_1_19,iconvex,coverage_status,implementation_disposition,wikipedia_source_ids,wikipedia_urls,all_source_ids,all_source_urls,statuses
ENC-1254,Matsushita JR series,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 29496347,https://en.wikipedia.org/wiki/Matsushita_JR_series,wikipedia:pageid 29496347,https://en.wikipedia.org/wiki/Matsushita_JR_series,
ENC-1255,Mattel Aquarius,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 268943,https://en.wikipedia.org/wiki/Mattel_Aquarius,wikipedia:pageid 268943,https://en.wikipedia.org/wiki/Mattel_Aquarius,
ENC-1257,MAZOVIA,Mazovia encoding,vendor_8bit_set | wikidata_characterencoding | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 1451189,https://en.wikipedia.org/wiki/Mazovia_encoding,kermit:MAZOVIA | wikidata:Q6798643 | wikipedia:pageid 1451189,https://www.kermitproject.org/k95charsets.html | https://www.wikidata.org/wiki/Q6798643 | https://en.wikipedia.org/wiki/Mazovia_encoding,legacy_implementation
ENC-1262,MIK (character set),,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 4144007,https://en.wikipedia.org/wiki/MIK_%28character_set%29,wikipedia:pageid 4144007,https://en.wikipedia.org/wiki/MIK_%28character_set%29,
ENC-1265,Modified HP Roman-8,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 51292914,https://en.wikipedia.org/wiki/Modified_HP_Roman-8,wikipedia:pageid 51292914,https://en.wikipedia.org/wiki/Modified_HP_Roman-8,
ENC-1266,Modified UTF-8,Java Modified UTF-8 | MUTF-8,unicode_compatibility_encoding | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 27643973,https://en.wikipedia.org/wiki/Modified_UTF-8,wikipedia:pageid 27643973 | supplement:Modified UTF-8,https://en.wikipedia.org/wiki/Modified_UTF-8 | https://docs.oracle.com/javase/8/docs/api/java/io/DataInput.html#modified-utf-8,vendor_specification
ENC-1268,Mojikyō,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,no,remaining,codec_gap,wikipedia:pageid 1601755,https://en.wikipedia.org/wiki/Mojiky%C5%8D,wikidata:Q830907 | wikipedia:pageid 1601755,https://www.wikidata.org/wiki/Q830907 | https://en.wikipedia.org/wiki/Mojiky%C5%8D,
ENC-1271,MouseText,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 9853359,https://en.wikipedia.org/wiki/MouseText,wikipedia:pageid 9853359,https://en.wikipedia.org/wiki/MouseText,
ENC-1272,MSX character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 54622638,https://en.wikipedia.org/wiki/MSX_character_set,wikidata:Q37823351 | wikipedia:pageid 54622638,https://www.wikidata.org/wiki/Q37823351 | https://en.wikipedia.org/wiki/MSX_character_set,
ENC-1276,MUTF-8,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 50866213,https://en.wikipedia.org/wiki/MUTF-8,wikipedia:pageid 50866213,https://en.wikipedia.org/wiki/MUTF-8,
ENC-1277,National Replacement Character Set,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 13246836,https://en.wikipedia.org/wiki/National_Replacement_Character_Set,wikipedia:pageid 13246836,https://en.wikipedia.org/wiki/National_Replacement_Character_Set,
ENC-1288,NEC APC character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,no,remaining,codec_gap,wikipedia:pageid 54266640,https://en.wikipedia.org/wiki/NEC_APC_character_set,wikidata:Q35146040 | wikipedia:pageid 54266640,https://www.wikidata.org/wiki/Q35146040 | https://en.wikipedia.org/wiki/NEC_APC_character_set,
ENC-1298,OML encoding,OML | OML-ENCODING | TEX-LIVE-OML-CMMI10-TOUNICODE-2026 | TEX-MATH-ITALIC,tex_math_font_encoding | wikidata_characterencoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 54377384,https://en.wikipedia.org/wiki/OML_encoding,wikidata:Q30694484 | wikipedia:pageid 54377384 | supplement:OML encoding,https://www.wikidata.org/wiki/Q30694484 | https://en.wikipedia.org/wiki/OML_encoding | https://raw.githubusercontent.com/latex3/latex2e/7c8574ae28a5b257f7b92cc1e5e317255644e40d/required/latex-lab/testfiles-math/mathcapture-tag-001.tpf,primary_source_exact_mapping
