byte_hex,byte_octal,glyph_name,ec_unicode_sequence,cmap_unicode_sequence,status,notes
9A,232,Zcaron,017D,017D,assigned,
9B,233,Zdotaccent,017B,017B,assigned,
9C,234,IJ,0132,0132,assigned,
9D,235,Idotaccent,0130,0130,assigned,
9E,236,dcroat,0111,0111,assigned,
9F,237,section,00A7,00A7,assigned,
A0,240,abreve,0103,0103,assigned,
A1,241,aogonek,0105,0105,assigned,
A2,242,cacute,0107,0107,assigned,
A3,243,ccaron,010D,010D,assigned,
A4,244,dcaron,010F,010F,assigned,
A5,245,ecaron,011B,011B,assigned,
A6,246,eogonek,0119,0119,assigned,
A7,247,gbreve,011F,011F,assigned,
A8,250,lacute,013A,013A,assigned,
A9,251,lcaron,013E,013E,assigned,
AA,252,lslash,0142,0142,assigned,
AB,253,nacute,0144,0144,assigned,
AC,254,ncaron,0148,0148,assigned,
AD,255,eng,014B,014B,assigned,
AE,256,ohungarumlaut,0151,0151,assigned,
AF,257,racute,0155,0155,assigned,
B0,260,rcaron,0159,0159,assigned,
B1,261,sacute,015B,015B,assigned,
B2,262,scaron,0161,0161,assigned,
B3,263,scedilla,015F,015F,assigned,
B4,264,tcaron,0165,0165,assigned,
B5,265,tcedilla,0163,021B,assigned,cedilla_vs_comma_below
B6,266,uhungarumlaut,0171,0171,assigned,
B7,267,uring,016F,016F,assigned,
B8,270,ydieresis,00FF,00FF,assigned,
B9,271,zacute,017A,017A,assigned,
BA,272,zcaron,017E,017E,assigned,
BB,273,zdotaccent,017C,017C,assigned,
BC,274,ij,0133,0133,assigned,
BD,275,exclamdown,00A1,00A1,assigned,
BE,276,questiondown,00BF,00BF,assigned,
BF,277,sterling,00A3,00A3,assigned,
C0,300,Agrave,00C0,00C0,assigned,
C1,301,Aacute,00C1,00C1,assigned,
C2,302,Acircumflex,00C2,00C2,assigned,
C3,303,Atilde,00C3,00C3,assigned,
C4,304,Adieresis,00C4,00C4,assigned,
C5,305,Aring,00C5,00C5,assigned,
C6,306,AE,00C6,00C6,assigned,
C7,307,Ccedilla,00C7,00C7,assigned,
C8,310,Egrave,00C8,00C8,assigned,
C9,311,Eacute,00C9,00C9,assigned,
CA,312,Ecircumflex,00CA,00CA,assigned,
CB,313,Edieresis,00CB,00CB,assigned,
CC,314,Igrave,00CC,00CC,assigned,
CD,315,Iacute,00CD,00CD,assigned,
CE,316,Icircumflex,00CE,00CE,assigned,
CF,317,Idieresis,00CF,00CF,assigned,
D0,320,Eth,00D0,00D0,overloaded,eth_glyph_also_declared_as_D_croat
D1,321,Ntilde,00D1,00D1,assigned,
D2,322,Ograve,00D2,00D2,assigned,
D3,323,Oacute,00D3,00D3,assigned,
D4,324,Ocircumflex,00D4,00D4,assigned,
D5,325,Otilde,00D5,00D5,assigned,
D6,326,Odieresis,00D6,00D6,assigned,
D7,327,OE,0152,0152,assigned,
D8,330,Oslash,00D8,00D8,assigned,
D9,331,Ugrave,00D9,00D9,assigned,
DA,332,Uacute,00DA,00DA,assigned,
DB,333,Ucircumflex,00DB,00DB,assigned,
DC,334,Udieresis,00DC,00DC,assigned,
DD,335,Yacute,00DD,00DD,assigned,
DE,336,Thorn,00DE,00DE,assigned,
DF,337,Germandbls,0053+0053,0053+0053,assigned,classic_EC_two_S_glyphs
E0,340,agrave,00E0,00E0,assigned,
E1,341,aacute,00E1,00E1,assigned,
E2,342,acircumflex,00E2,00E2,assigned,
E3,343,atilde,00E3,00E3,assigned,
E4,344,adieresis,00E4,00E4,assigned,
E5,345,aring,00E5,00E5,assigned,
E6,346,ae,00E6,00E6,assigned,
E7,347,ccedilla,00E7,00E7,assigned,
E8,350,egrave,00E8,00E8,assigned,
E9,351,eacute,00E9,00E9,assigned,
EA,352,ecircumflex,00EA,00EA,assigned,
EB,353,edieresis,00EB,00EB,assigned,
EC,354,igrave,00EC,00EC,assigned,
ED,355,iacute,00ED,00ED,assigned,
EE,356,icircumflex,00EE,00EE,assigned,
EF,357,idieresis,00EF,00EF,assigned,
F0,360,eth,00F0,00F0,assigned,
F1,361,ntilde,00F1,00F1,assigned,
F2,362,ograve,00F2,00F2,assigned,
F3,363,oacute,00F3,00F3,assigned,
F4,364,ocircumflex,00F4,00F4,assigned,
F5,365,otilde,00F5,00F5,assigned,
F6,366,odieresis,00F6,00F6,assigned,
F7,367,oe,0153,0153,assigned,
F8,370,oslash,00F8,00F8,assigned,
F9,371,ugrave,00F9,00F9,assigned,
FA,372,uacute,00FA,00FA,assigned,
FB,373,ucircumflex,00FB,00FB,assigned,
FC,374,udieresis,00FC,00FC,assigned,
FD,375,yacute,00FD,00FD,assigned,
FE,376,thorn,00FE,00FE,assigned,
FF,377,germandbls,00DF,00DF,assigned,
